COD_ABI;BANCA
01000;BANCA D'ITALIA
01005;BANCA NAZIONALE DEL LAVORO SPA
01010;BANCO DI NAPOLI S.P.A
01015;BANCO DI SARDEGNA SPA
01020;BANCO DI SICILIA SPA
01025;SANPAOLO IMI S.P.A. FUS. INTESA SAN PAOL
01030;BANCA MONTEPASCHI DI SIENA S.P.A.
02002;BANCA COMMERCIALE ITALIANA
02008;UNICREDIT SPA
03001;BANCO AMBROSIANO VENETO S.P.A.
03002;UNICREDIT BANCA DI ROMA SPA
03003;ROYAL BANK OF SCOTLAND PLC
03006;EUROPE ARAB BANK PLC
03009;FCE BANK PLC
03011;HYPO ALPE ADRIA BANK S.P.A.
03015;FINECOBANK S.P.A.
03017;INVEST BANCA S.P.A.
03019;CREDITO SICILIANO S.P.A.
03021;HSBC BANK PLC
03022;CREDIT FONCIER DE FRANCE
03025;BANCA PROFILO S.P.A.
03026;BANCA ITALEASE S.P.A.
03029;MERRILL LYNCH INTERNATIONAL BANK LIMITED
03030;DEXIA CREDIOP S.P.A.
03032;CREDITO EMILIANO SPA
03034;BANCA AGRICOLA COMMERCIALE REPUBBLICA DI
03040;CREDIT SUISSE AG
03041;UBS (ITALIA) S.P.A.
03043;BANCA INTERMOBILIARE DI INVESTIMENTI E G
03045;BANCA AKROS S.P.A.
03047;BANCA CAPASSO ANTONIO B. - ALIFE
03048;BANCA DEL PIEMONTE S.P.A.
03051;BARCLAYS BANK PLC - MILANO
03053;BANCAPERTA S.P.A. FUS CREDITO VALTELLINE
03054;BNP PARIBAS PERSONAL FINANCE SPA
03055;BAYERISCHE LANDESBANK
03057;MERRILL LYNCH INTERNATIONAL BANKLTD MILA
03058;CHE BANCA! S.P.A.
03059;BANCA DI CREDITO SARDO S.P.A.
03061;CITIBANK INTERNATIONAL PLC
03062;BANCA MEDIOLANUM S.P.A.
03064;BANCA BOVIO CALDERARI S.P.A. FUS ABI 326
03067;BANCA CARIME S.P.A. C/O UBI BANCA  - POR
